Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2025-W29,,X,,,,,,,,,,,,,,,
2025-W30,,X,,,,,,,,,,,,,,,
2025-W31,,X,,,,,,,,,,,,,,,
2025-W32,,X,,,,,,,,,,,,,,,
2025-W42,,X,,,,X,,,,,,,,,,,
2025-W43,,X,,,,X,,,,X,,,,,,,
2025-W44,,X,,,,X,,,,,,,,,,,
2025-W45,,X,,,,X,,,,,,,,,,,
2025-W46,,X,,,,X,,,,,,,,,,,
2025-W47,,X,,,,X,,,,,,,,,,,
2025-W48,,X,,,,X,,,,,,,,,,,
2025-W49,,X,,,,X,,,,,,,,,,,
2025-W50,,X,,,,X,,,,,,,,,,,
2025-W51,,X,,,,X,,,,,,,,,,,
2026-W01,,X,,,,X,,,,,,,,,,,
2026-W02,,X,,,,X,,,,,,,,,,,
2026-W03,,X,,,,X,,,,,,,,,,,
2026-W04,,X,,,,X,,,,,,,,,,,
2026-W05,,X,,,,X,,,,,,,,,,,
2026-W07,,X,,,,X,,,,,,,,,,,
2026-W08,,X,,,,X,,,,,,,,,,,
2026-W09,,X,,,,X,,,,,,,,,,,
2026-W10,,X,,,,X,,,,,,,,,,,
2026-W11,,X,,,,X,,,,,,,,,,,
2026-W12,,X,,,,X,,,,,,,,,,,
2026-W13,,X,,,,X,,,,,,,,,,,
2026-W14,,X,,,,X,,,,,,,,,,,
2026-W15,,X,,,,X,,,,,,,,,,,
2026-W16,,X,,,,X,,,,,,,,,,,
2026-W17,,X,,,,X,,,,,,,,,,,
2026-W18,,X,,,,X,,,,,,,,,,,
2026-W20,,X,,,,X,,,,,,,,,,,
2026-W21,,X,,,,,,,,,,,,,,,
2026-W22,,X,,,,,,,,,,,,,,,
